Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
205,1.708333,-29.612698,7.747256,-16.646908,-17.335976,-38.849438,415.385376
206,1.716667,-29.888962,7.799765,-16.347324,-17.481422,-39.678509,415.367065
207,1.725000,-30.135296,7.878281,-16.116093,-17.665993,-40.560326,415.355347
208,1.733333,-30.340380,7.938807,-15.971392,-17.851564,-41.408875,415.317352
209,1.741667,-30.496754,8.023737,-15.907084,-18.058325,-42.286228,415.252686
210,1.750000,-30.661221,8.084883,-15.924120,-18.272820,-43.173782,415.177704
211,1.758333,-30.846151,8.200262,-15.941954,-18.491234,-44.060226,415.121338
212,1.766667,-31.007494,8.318089,-15.951460,-18.714252,-44.998074,415.069855
213,1.775000,-31.207420,8.393036,-15.929323,-18.913311,-45.925709,415.056213
214,1.783333,-31.449196,8.488616,-15.830380,-19.090866,-46.890858,415.041504
215,1.791667,-31.718517,8.571088,-15.658969,-19.223549,-47.870815,415.080933
216,1.800000,-31.980339,8.598347,-15.489356,-19.287586,-48.802124,415.098633
217,1.808333,-32.219479,8.588692,-15.366291,-19.298512,-49.684963,415.149475
218,1.816667,-32.449852,8.517528,-15.291819,-19.245663,-50.550972,415.215942
219,1.825000,-32.677071,8.430332,-15.251015,-19.136528,-51.362656,415.285248
220,1.833333,-32.915165,8.349405,-15.221497,-18.993965,-52.155312,415.435272
221,1.841667,-33.175285,8.226965,-15.233880,-18.829094,-52.964870,415.608704
222,1.850000,-33.488918,8.109454,-15.222007,-18.653362,-53.780293,415.787537
223,1.858333,-33.816551,8.005610,-15.129996,-18.447834,-54.588684,416.007721
224,1.866667,-34.098572,7.895306,-15.020426,-18.235035,-55.337540,416.172546
225,1.875000,-34.317226,7.793909,-14.905778,-18.013830,-56.025822,416.316620
226,1.883333,-34.537434,7.707642,-14.798619,-17.774082,-56.644428,416.368378
227,1.891667,-34.645088,7.606380,-14.735600,-17.531860,-57.180553,416.368988
228,1.900000,-34.694412,7.490117,-14.723615,-17.287138,-57.663116,416.341125
229,1.908333,-34.724762,7.403044,-14.766324,-17.058329,-58.090595,416.296906
