Format Version,1.25,Take Name,Take 2025-04-29 12.39.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-29 12.39.37.060 PM,Capture Start Frame,35987,Total Frames in Take,5690,Total Exported Frames,5690,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
166,1.383333,-98.231262,-0.176860,-20.645575,-3.433958,-72.399452,444.934387
167,1.391667,-98.156273,-0.227495,-20.671396,-3.555827,-72.356331,445.063690
168,1.400000,-98.098770,-0.301548,-20.663651,-3.716143,-72.311981,445.192200
169,1.408333,-98.040169,-0.385110,-20.645401,-3.905959,-72.268806,445.348022
170,1.416667,-97.991875,-0.456021,-20.632534,-4.048646,-72.240013,445.460693
171,1.425000,-97.953285,-0.482427,-20.643503,-4.107929,-72.218933,445.537842
172,1.433333,-97.946831,-0.476647,-20.663031,-4.081289,-72.212036,445.564331
173,1.441667,-97.944801,-0.433112,-20.707239,-3.968008,-72.206146,445.543579
174,1.450000,-97.979881,-0.368262,-20.780828,-3.787066,-72.220581,445.498535
175,1.458333,-98.025185,-0.315603,-20.842398,-3.643149,-72.241119,445.470337
176,1.466667,-98.032097,-0.281053,-20.904833,-3.544017,-72.248924,445.437103
177,1.475000,-97.993301,-0.278254,-20.968592,-3.496450,-72.235466,445.417023
178,1.483333,-97.995941,-0.301767,-21.019503,-3.507370,-72.227287,445.455536
179,1.491667,-97.960297,-0.333305,-21.067467,-3.543348,-72.211906,445.505920
180,1.500000,-97.943382,-0.362997,-21.119827,-3.574856,-72.201744,445.542084
181,1.508333,-97.936089,-0.370026,-21.197693,-3.565150,-72.202271,445.555664
182,1.516667,-97.974174,-0.356053,-21.294811,-3.493459,-72.215363,445.534241
183,1.525000,-98.004753,-0.314643,-21.424551,-3.344235,-72.230316,445.454071
184,1.533333,-98.062111,-0.242871,-21.593548,-3.119569,-72.258377,445.375763
185,1.541667,-98.078621,-0.141813,-21.807865,-2.825829,-72.281281,445.234833
186,1.550000,-98.151031,-0.042030,-22.009960,-2.553138,-72.327698,445.127045
187,1.558333,-98.219917,0.051436,-22.224609,-2.298760,-72.367477,445.010315
